filename,utterance_text
Empathy_상처_친구_1.tsv,어떻게 내가 회장 선거에서 떨어질 수가 있지? 친하다고 생각한 친구들에게 상처를 받은 기분이야.
Empathy_상처_친구_10.tsv,장례식에 와 줘서 고마워. 이제야 연락할 정신이 생겼어.
Empathy_상처_친구_100.tsv,오늘은 점심을 먹지 않고 산책을 했어.
Empathy_상처_친구_101.tsv,"공감화자야, 혹시 그 애 소식 아니? 너희는 어렸을 적부터 친구니까 연락할 것 같았어."
Empathy_상처_친구_102.tsv,"나 있잖아, 누가 질문이라도 하면 엉뚱한 대답을 해. 그래서인지 사람들이 나를 피해서 무척이나 괴로워."
Empathy_상처_친구_103.tsv,나... 말할 게 있어. 나 사실 동성한테 사랑을 느끼거든. 그래서 이 세상에 나 홀로인 것 같아.
Empathy_상처_친구_104.tsv,나 어제 정말 억울한 일이 있었어. 너무 상처받았어.
Empathy_상처_친구_105.tsv,"친구야, 나 어제 여행에서 돌아왔는데 기분이 영 별로야."
Empathy_상처_친구_106.tsv,나 이혼해야 할까 봐.
Empathy_상처_친구_107.tsv,큰맘 먹고 매수한 주식이 하루 만에 반값으로 떨어졌네. 너무 충격이야.
Empathy_상처_친구_108.tsv,진짜 힘들어 또 입술이 터졌어. 시어머니 생신 잔치에 시누이 아기 돌잔치까지 내가 얼마나 힘든데. 남편은 몰라주고 딸아이 감기도 내 잘못이래.
Empathy_상처_친구_109.tsv,비 오는 날 거리를 걷는데 예전에 많이 듣던 음악이 흘러나오는 거야. 옛날 첫사랑 그 사람 생각이 나더라고.
Empathy_상처_친구_11.tsv,부모님이 말리는 결혼을 처음부터 하는 게 아니었어.
Empathy_상처_친구_110.tsv,조만간 좋지 못한 일이 생길 것 같아. 그것만 생각하면 마음이 답답하고 괴로워.
Empathy_상처_친구_111.tsv,집에 들어오는 길에 만취에서 길에 쓰러져 자는 사람이 있었어. 아버지 생각이 나면서 마음이 안 좋고 아프더라.
Empathy_상처_친구_112.tsv,"친구야, 나 요즘 회사 그만두고 속상해서 잠도 잘 안 온다."
Empathy_상처_친구_113.tsv,오늘 소개팅을 하고 왔는데 상대방이 내 머리를 보고 실망한 것 같아.
